subject_id,workflow_id,timestep,activity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,S01_W00,0,sitting,0.4643752275676122,0.13198769227379184,0.3911015621974875,-0.08727839925491652,0.0727740220814172,0.05263326526150174
1,S01_W00,1,sitting,0.5351554028623455,0.19835370898043703,0.2908281285016914,-0.11147788299653229,0.1301415325366313,0.13697604128316965
1,S01_W00,2,sitting,0.4727152206971165,0.24713703725490213,0.5005588192082606,-0.11586676894295739,0.04656498315193445,0.043260940079187224
1,S01_W00,3,sitting,0.4911849144033782,0.30488114061486693,0.32410475441166503,-0.1506136866468665,0.021573570445265658,0.1610215573750228
1,S01_W00,4,sitting,0.5034401873665042,0.25984361678545187,0.2838313165200937,-0.0648770656194427,0.0968546630399902,0.12706951468346694
1,S01_W00,5,sitting,0.515628769735469,0.2360419815890271,0.3950919203027828,-0.07809362017281993,0.11063714713483669,0.16066648091329733
1,S01_W00,6,sitting,0.3311359794927684,0.1942780926573667,0.3067082435602221,-0.1346612875859663,0.06548408032215428,0.23033621768356377
1,S01_W00,7,sitting,0.38009340799170527,0.2989451658534137,0.21311753404796138,-0.11039408356265076,0.10050364097531408,0.15820447809025684
1,S01_W00,8,sitting,0.5077651303619951,0.28651472433130376,0.3231054538770062,-0.1206447204727871,0.15610947368523287,0.09655621222727988
1,S01_W00,9,sitting,0.350173109810778,0.13388026241589202,0.2805484351639207,-0.04393805422686653,0.09885354345294273,0.16764114423293847
1,S01_W00,10,sitting,0.4192610426926679,0.23865428080082207,0.40709544030484524,-0.10851398009582663,0.12398966080150525,0.05997769688137881
1,S01_W00,11,sitting,0.42546080731473995,0.19679085864239482,0.264164767007477,-0.044864773141964416,0.049883689527397836,0.11444826838031788
1,S01_W00,12,sitting,0.49387779919501745,0.2643414552732649,0.4156844135665452,-0.09175866100216867,0.05356032630171377,0.10757557550536867
1,S01_W00,13,sitting,0.32119189798479575,0.11406870976745422,0.25909512748200436,-0.16371771887540842,0.11939452534495074,0.042006149052161365
1,S01_W00,14,sitting,0.42653248949643013,0.334923803547321,0.338701278237544,-0.024995740676013935,0.012711652000730059,0.09848788295526555
1,S01_W00,15,sitting,0.3812355227295856,0.204939243783377,0.4365502312548458,-0.22224245928089298,0.12214352215151668,0.13440695289733892
1,S01_W00,16,sitting,0.4100008115702168,0.11738158372961499,0.3770491830880489,-0.1264768694129999,0.10599237872027066,0.1175881312116542
